Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Battlestations: Midway,2007,Strategy,7.7,0.01,PC,3,0
Battlezone: Rise of the Black Dogs,2000,Strategy,7.3,0.07,N64,2,3
Bayonetta,2010,Action,8.6,2.14,PS3,3,3
Bayonetta 2,2014,Action,9.3,1.43,NS,3,3
Beach Spikers: Virtua Beach Volleyball,2002,Sports,7.1,0.1,GC,3,3
Beaterator,2009,Misc,7.9,0.11,PSP,3,3
Beautiful Katamari,2007,Puzzle,7.3,0.32,X360,3,1
Bee Movie Game,2007,Action,6.0,0.62,DS,3,3
Beetle Adventure Racing!,1999,Racing,9.2,0.62,N64,3,2
Bejeweled 3,2010,Puzzle,8.1,0.1,PC,2,3
Ben 10: Alien Force,2008,Action,5.2,0.6,PSP,2,2
Beowulf: The Game,2007,Action,4.9,0.4,X360,3,3
BeyBlade VForce: Super Tournament Battle,2003,Action,2.5,0.21,GC,3,1
Beyblade G-Revolution,2004,Action,2.4,0.2,GBA,3,1
Beyond Good & Evil,2003,Adventure,8.3,0.33,PS2,3,3
Beyond The Beyond,1996,Role-Playing,4.8,0.57,PS,3,3
Big Bang Mini,2009,Shooter,8.0,0.06,DS,2,0
Big Beach Sports,2008,Sports,4.9,1.66,Wii,3,2
Big Brain Academy,2006,Misc,7.7,6.63,DS,3,3
Big Brain Academy: Wii Degree,2007,Misc,7.1,3.79,Wii,3,3
Big Bumpin',2006,Action,6.7,0.0,X360,0,3
Big Mutha Truckers,2005,Racing,5.0,0.04,GBA,0,0
Billy Hatcher and the Giant Egg,2003,Platform,7.3,0.25,GC,3,3
Bio FREAKS,1998,Action,6.2,0.14,N64,3,1
BioShock,2007,Shooter,9.6,4.68,Multi_Plateforme,3,3
BioShock 2,2010,Shooter,8.5,3.99,Multi_Plateforme,3,3
BioShock Infinite,2013,Shooter,9.5,1.82,PS3,3,2
Bionic Commando,2009,Adventure,7.0,0.64,PS3,3,2
Bionicle,2003,Platform,4.8,0.21,GC,3,3
Bionicle Heroes,2006,Shooter,5.4,0.28,Multi_Plateforme,3,3
Black,2006,Shooter,7.7,1.25,PS2,3,3
Black & White,2001,Strategy,9.3,0.04,PC,3,3
Black Sigil: Blade of the Exiled,2009,Role-Playing,6.0,0.05,DS,1,0
Blacksite: Area 51,2007,Shooter,6.3,0.57,X360,3,2
Blackthorne,2003,Action,7.1,0.01,GBA,3,2
Blade Strangers,2018,Fighting,8.3,0.04,NS,1,1
Bladestorm: The Hundred Years' War,2007,Action,6.9,0.09,X360,2,3
Blast Corps,1997,Action,9.1,0.71,N64,3,3
Blast Radius,1999,Action,6.6,0.07,PS,2,0
"Blast Works: Build, Trade, Destroy",2008,Shooter,8.2,0.1,Wii,3,2
Blaster Master: Blasting Again,2001,Shooter,7.7,0.25,PS,2,2
Blasto,1998,Action,4.6,0.35,PS,3,3
BlazBlue: Calamity Trigger,2009,Fighting,8.5,0.9299999999999999,PS3,2,3
BlazBlue: Calamity Trigger Portable,2010,Fighting,7.9,0.11,PSP,2,3
BlazBlue: Continuum Shift,2010,Fighting,8.6,0.73,PS3,2,3
BlazBlue: Continuum Shift II,2011,Fighting,6.0,0.24,3DS,2,3
BlazBlue: Cross Tag Battle,2018,Fighting,8.0,0.07,NS,0,3
Blazing Angels 2: Secret Missions of WWII,2007,Simulation,7.2,0.29000000000000004,PS3,3,3
Blazing Angels: Squadrons of WWII,2006,Simulation,4.7,2.04,Multi_Plateforme,3,3
Blazing Dragons,1996,Adventure,6.6,0.15,PS,2,1
Bleach: Shattered Blade,2007,Fighting,5.3,0.32,Wii,3,2
Bleach: Soul Resurreccion,2011,Fighting,6.7,0.51,PS3,3,2
Bleach: The Blade of Fate,2007,Fighting,8.2,0.45,DS,3,2
Blender Bros.,2002,Platform,7.4,0.02,GBA,3,0
Blinx 2: Masters of Time & Space,2004,Platform,6.8,0.15,XB,3,3
Blinx: The Time Sweeper,2002,Platform,6.8,0.56,XB,3,3
Blitz: The League,2005,Sports,6.5,1.58,Multi_Plateforme,3,3
Blitz: The League II,2008,Sports,6.3,0.25,PS3,3,3
Blood Bowl,2010,Sports,5.0,0.24000000000000002,Multi_Plateforme,2,1
Blood Omen: Legacy of Kain,1996,Role-Playing,7.8,0.44,PS,2,3
BloodRayne,2002,Shooter,7.3,0.32,GC,3,3
Bloodborne,2015,Role-Playing,8.2,3.11,PS4,3,3
Bloody Roar,1998,Fighting,8.6,0.39,PS,3,2
Bloody Roar II,1999,Fighting,8.2,0.46,PS,3,2
Bloody Roar: Primal Fury,2002,Fighting,7.9,0.18,GC,3,2
BlowOut,2003,Shooter,6.5,0.01,GC,3,3
Blue Dragon,2007,Role-Playing,7.7,0.92,X360,3,2
Blue Dragon Plus,2009,Role-Playing,6.5,0.21,DS,2,1
Blue Dragon: Awakened Shadow,2010,Role-Playing,5.7,0.1,DS,2,0
Blue Stinger,1999,Adventure,6.7,0.1,DC,3,1
Blues Brothers 2000,2000,Platform,4.9,0.05,N64,1,0
Blur,2010,Racing,8.3,1.3699999999999999,Multi_Plateforme,3,3
Body and Brain Connection,2011,Misc,6.0,0.2,X360,3,3
Bodycount,2011,Shooter,4.8,0.22,PS3,3,1
Boktai 2: Solar Boy Django,2004,Role-Playing,7.9,0.04,GBA,3,3
Boktai: The Sun is in Your Hand,2003,Role-Playing,7.8,0.15,GBA,3,3
Bomberman,2006,Puzzle,7.3,0.15,PSP,3,3
Bomberman 64,1997,Puzzle,6.1,1.04,N64,2,3
Bomberman Fantasy Race,1999,Racing,6.3,0.02,PS,3,0
Bomberman Generation,2002,Adventure,8.4,0.25,GC,3,3
Bomberman Jetters,2004,Puzzle,7.2,0.08,GC,3,3
Bomberman Land,2008,Misc,6.0,0.23,PSP,1,3
Bomberman Max 2: Blue Advance,2002,Puzzle,7.3,0.09,GBA,3,3
